Place of Residence,Age Group,Gender,Total,Portuguesa,Estrangeira,Europa,Alemanha,Áustria,Bélgica,Bulgária,Espanha,França,Irlanda,Itália,Luxemburgo,Países Baixos,Polónia,Roménia,Suécia,Federação da Rússia,Suíça,Ucrânia,África,África do Sul,Angola,Cabo Verde,Guiné-Bissau,Moçambique,São Tomé e Príncipe,América,Canadá,Estados Unidos da América,Argentina,Brasil,Venezuela,Ásia,Bangladeche,China,Índia,Nepal,Paquistão,Oceânia,freguesia_code,municipio,region
Lisboa,Total,H,254179,210129,44050,9611,830,49,316,83,1106,2347,83,1018,67,243,79,445,98,196,301,645,12932,260,5478,1903,922,2788,640,12057,147,610,164,10239,414,9351,3628,1178,1225,2054,392,99,1106,Lisboa,Grande Lisboa
Lisboa,Total,M,291617,243869,47748,10782,827,71,313,113,1341,2430,64,955,82,203,260,542,91,385,327,969,16360,297,7253,2640,863,3539,1027,15265,177,553,160,13254,493,5261,565,1309,712,1435,136,80,1106,Lisboa,Grande Lisboa
Lisboa,0 - 4 anos,H,11981,11406,575,247,19,0,15,0,33,46,2,11,4,8,3,4,3,2,9,3,57,6,27,4,4,6,5,189,6,23,3,139,5,80,26,11,4,10,4,2,1106,Lisboa,Grande Lisboa
Lisboa,0 - 4 anos,M,11321,10713,608,233,19,1,16,0,28,47,5,12,2,3,1,1,1,2,11,5,74,3,38,8,9,6,0,220,2,18,5,179,2,80,20,10,11,8,5,1,1106,Lisboa,Grande Lisboa
Lisboa,5 - 9 anos,H,11986,10705,1281,364,24,1,16,2,58,88,3,15,1,13,2,8,0,5,19,7,207,8,113,17,17,15,20,523,8,45,6,433,12,183,37,31,15,55,11,4,1106,Lisboa,Grande Lisboa
Lisboa,5 - 9 anos,M,11296,10182,1114,327,27,4,19,0,29,79,2,10,7,7,3,4,2,6,22,16,207,14,108,20,18,9,22,437,5,29,1,386,5,139,19,36,8,37,10,4,1106,Lisboa,Grande Lisboa
Lisboa,10 - 14 anos,H,12751,11479,1272,356,16,0,19,1,66,102,3,17,3,6,3,8,1,12,11,16,290,3,158,28,33,7,34,448,4,38,3,375,16,174,33,36,20,46,6,4,1106,Lisboa,Grande Lisboa
Lisboa,10 - 14 anos,M,11885,10723,1162,317,21,1,19,1,50,76,5,16,4,6,3,9,1,10,5,20,295,10,137,39,31,16,37,383,1,26,1,332,11,167,22,42,12,46,8,0,1106,Lisboa,Grande Lisboa
Lisboa,15 - 19 anos,H,12832,11484,1348,251,17,2,14,3,33,64,2,13,0,6,0,17,1,8,7,13,420,5,200,60,63,15,43,462,2,35,3,400,10,214,26,45,13,64,8,1,1106,Lisboa,Grande Lisboa
Lisboa,15 - 19 anos,M,12552,11212,1340,287,25,1,8,4,32,68,2,10,5,11,1,16,3,4,14,19,433,9,163,91,55,31,55,454,3,25,1,395,11,160,20,44,11,47,4,6,1106,Lisboa,Grande Lisboa
Lisboa,20 - 24 anos,H,14962,12215,2747,508,48,5,23,5,45,90,1,47,5,21,3,23,4,10,20,52,656,10,266,127,85,47,43,877,4,28,2,782,33,705,272,80,101,175,20,1,1106,Lisboa,Grande Lisboa
Lisboa,20 - 24 anos,M,14723,12002,2721,614,62,4,14,6,53,111,2,63,15,32,7,27,3,15,19,75,668,17,283,146,53,67,58,988,7,36,4,879,41,449,94,99,23,140,7,2,1106,Lisboa,Grande Lisboa
Lisboa,25 - 29 anos,H,18603,13473,5130,1088,93,5,34,4,128,208,5,165,18,34,9,32,11,21,68,77,582,21,165,143,87,29,48,1755,10,58,15,1547,61,1698,757,114,212,464,65,7,1106,Lisboa,Grande Lisboa
Lisboa,25 - 29 anos,M,18693,13832,4861,1401,86,14,45,10,161,243,5,205,18,31,53,43,9,47,73,113,641,18,229,160,58,35,72,1991,17,58,21,1742,76,820,147,141,59,349,17,8,1106,Lisboa,Grande Lisboa
Lisboa,30 - 34 anos,H,19303,13406,5897,1189,82,7,29,9,107,258,8,206,11,25,13,51,13,41,56,66,604,38,178,140,83,23,46,2099,27,61,33,1823,66,1988,962,131,192,509,95,17,1106,Lisboa,Grande Lisboa
Lisboa,30 - 34 anos,M,18844,13468,5376,1435,90,9,37,14,157,254,12,191,7,28,69,94,9,70,54,84,693,36,234,168,70,44,77,2304,18,70,33,1993,67,930,130,157,74,401,28,14,1106,Lisboa,Grande Lisboa
Lisboa,35 - 39 anos,H,18714,13725,4989,1063,97,7,37,9,121,256,10,145,7,29,13,49,7,23,27,47,569,50,168,88,73,50,56,1744,18,48,27,1523,69,1592,788,140,135,360,58,21,1106,Lisboa,Grande Lisboa
Lisboa,35 - 39 anos,M,18571,13867,4704,1246,88,7,19,12,128,250,11,156,7,21,56,87,10,53,29,92,701,42,232,137,75,60,93,2101,24,69,23,1818,69,646,62,155,57,225,14,10,1106,Lisboa,Grande Lisboa
Lisboa,40 - 44 anos,H,19459,15280,4179,1048,103,10,25,10,119,301,18,99,7,15,14,73,6,13,17,73,763,43,275,97,68,133,57,1343,22,49,24,1148,45,1015,436,120,108,221,47,10,1106,Lisboa,Grande Lisboa
Lisboa,40 - 44 anos,M,20394,15996,4398,1208,119,6,23,13,127,329,3,95,11,7,31,85,11,30,17,119,948,30,387,153,76,143,89,1823,30,47,20,1621,43,411,28,148,43,91,11,8,1106,Lisboa,Grande Lisboa
Lisboa,45 - 49 anos,H,18870,14650,4220,1088,105,1,25,13,98,370,9,79,5,18,7,60,7,20,13,83,1744,32,923,114,69,469,51,822,9,39,16,685,33,563,177,146,54,94,30,3,1106,Lisboa,Grande Lisboa
Lisboa,45 - 49 anos,M,20450,15675,4775,1099,106,5,23,11,105,396,1,44,3,12,14,57,7,40,20,102,2010,39,1060,167,57,558,74,1326,32,31,21,1158,38,327,7,170,26,41,6,13,1106,Lisboa,Grande Lisboa
Lisboa,50 - 54 anos,H,16388,12998,3390,793,90,2,22,7,76,242,7,50,5,16,4,51,4,13,12,73,1657,26,837,130,87,467,44,571,10,43,8,467,18,362,73,141,50,30,16,7,1106,Lisboa,Grande Lisboa
Lisboa,50 - 54 anos,M,18682,14736,3946,779,66,3,16,12,72,218,7,43,0,14,2,58,5,42,16,89,1885,36,878,224,78,524,90,1037,14,30,5,910,43,240,3,113,31,15,3,5,1106,Lisboa,Grande Lisboa
Lisboa,55 - 59 anos,H,15431,12691,2740,515,53,4,10,7,61,99,5,37,0,10,3,36,6,12,10,56,1477,6,717,153,72,411,51,498,12,41,6,397,23,241,20,96,47,14,11,9,1106,Lisboa,Grande Lisboa
Lisboa,55 - 59 anos,M,18097,14740,3357,490,24,4,12,13,70,87,1,30,2,6,2,32,8,25,17,87,1781,10,832,252,79,469,93,850,11,30,5,732,41,233,6,90,48,11,6,3,1106,Lisboa,Grande Lisboa
Lisboa,60 - 64 anos,H,13696,11587,2109,356,26,1,20,7,37,44,5,19,0,12,1,20,16,7,8,50,1259,6,518,190,69,361,46,319,5,45,6,232,11,173,14,35,64,5,12,2,1106,Lisboa,Grande Lisboa
Lisboa,60 - 64 anos,M,17544,14764,2780,369,22,2,13,11,45,59,2,20,0,5,5,16,4,14,5,80,1674,8,774,247,68,438,89,579,5,36,5,485,17,158,3,40,45,5,9,0,1106,Lisboa,Grande Lisboa
Lisboa,65 - 69 anos,H,12797,11155,1642,275,20,0,11,2,41,61,2,39,1,12,3,10,6,2,7,20,1036,1,373,255,50,259,43,190,4,25,2,140,9,136,7,29,56,3,6,5,1106,Lisboa,Grande Lisboa
Lisboa,65 - 69 anos,M,16786,14526,2260,259,11,0,15,2,32,58,2,20,0,6,5,9,9,12,5,44,1448,8,623,277,51,370,77,378,2,23,4,306,21,172,2,36,75,10,2,3,1106,Lisboa,Grande Lisboa
Lisboa,70 - 74 anos,H,12168,11013,1155,234,13,2,9,2,33,61,0,45,0,8,0,2,8,4,10,7,713,2,255,135,36,218,25,111,2,20,4,74,2,92,0,12,55,2,2,5,1106,Lisboa,Grande Lisboa
Lisboa,70 - 74 anos,M,17142,15639,1503,196,9,1,12,2,35,44,2,17,1,7,4,0,3,6,8,15,998,7,427,172,37,285,34,179,4,13,3,150,3,129,1,15,59,7,4,1,1106,Lisboa,Grande Lisboa
Lisboa,75 - 79 anos,H,9738,9109,629,117,7,1,3,1,16,34,1,14,0,5,1,0,5,1,6,0,382,2,118,88,16,122,10,59,3,5,1,42,0,70,0,7,50,2,1,1,1106,Lisboa,Grande Lisboa
Lisboa,75 - 79 anos,M,14882,13917,965,163,23,3,7,0,47,39,1,8,0,4,0,1,3,3,7,6,638,3,271,127,21,163,24,99,1,4,6,71,3,65,1,4,48,2,0,0,1106,Lisboa,Grande Lisboa
Lisboa,80 - 84 anos,H,7511,7101,410,67,8,1,2,0,17,15,1,13,0,2,0,0,0,0,0,2,284,0,102,71,6,89,12,23,1,4,1,15,1,36,0,2,26,0,0,0,1106,Lisboa,Grande Lisboa
Lisboa,80 - 84 anos,M,13053,12229,824,154,19,3,5,1,60,32,1,6,0,3,2,1,1,5,3,2,549,4,248,109,14,141,15,54,1,2,1,48,1,66,0,5,44,0,0,1,1106,Lisboa,Grande Lisboa
Lisboa,85 e mais anos,H,6989,6652,337,52,9,0,2,1,17,8,1,4,0,3,0,1,0,2,1,0,232,1,85,63,4,67,6,24,0,3,4,17,0,29,0,2,23,0,0,0,1106,Lisboa,Grande Lisboa
Lisboa,85 e mais anos,M,16702,15648,1054,205,10,3,10,1,110,40,0,9,0,0,2,2,2,1,2,1,717,3,329,143,13,180,28,62,0,6,1,49,1,69,0,4,38,0,2,1,1106,Lisboa,Grande Lisboa
Ajuda,Total,H,6566,5729,837,177,9,0,4,1,22,37,1,19,2,6,3,14,1,4,7,8,260,6,89,59,16,54,12,311,3,12,2,270,14,89,14,13,19,23,4,0,110601,Lisboa,Grande Lisboa
Ajuda,Total,M,7740,6749,991,202,14,1,3,4,24,44,2,16,0,6,7,14,2,6,6,9,345,5,120,89,20,70,21,374,5,7,3,322,20,70,3,12,14,19,1,0,110601,Lisboa,Grande Lisboa
Ajuda,0 - 4 anos,H,330,318,12,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,2,0,4,1,2,0,0,0,1,1,0,110601,Lisboa,Grande Lisboa
Ajuda,0 - 4 anos,M,294,282,12,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,4,0,1,1,0,0,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,5 - 9 anos,H,292,260,32,8,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,6,0,2,2,1,0,0,17,0,1,0,14,1,1,0,0,0,1,0,0,110601,Lisboa,Grande Lisboa
Ajuda,5 - 9 anos,M,278,257,21,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,1,0,0,0,13,1,0,1,11,0,1,0,0,0,1,0,0,110601,Lisboa,Grande Lisboa
Ajuda,10 - 14 anos,H,317,281,36,12,0,0,0,0,3,1,1,0,1,1,0,0,0,0,2,0,5,0,2,2,0,0,0,15,0,2,0,13,0,4,0,2,0,0,2,0,110601,Lisboa,Grande Lisboa
Ajuda,10 - 14 anos,M,285,272,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,2,1,0,0,5,0,1,0,3,1,2,0,0,0,1,0,0,110601,Lisboa,Grande Lisboa
Ajuda,15 - 19 anos,H,304,276,28,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,0,4,2,0,1,1,13,0,1,0,12,0,4,0,0,0,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,15 - 19 anos,M,293,268,25,6,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,7,0,1,1,1,0,3,10,1,0,0,9,0,2,0,2,0,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,20 - 24 anos,H,344,305,39,8,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,12,0,3,5,1,0,2,19,0,1,0,17,1,0,0,0,0,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,20 - 24 anos,M,327,269,58,11,2,0,0,0,2,2,0,1,0,0,0,0,0,0,1,0,20,0,5,7,4,1,3,22,0,0,0,21,1,5,1,0,0,2,0,0,110601,Lisboa,Grande Lisboa
Ajuda,25 - 29 anos,H,394,311,83,14,0,0,0,0,3,3,0,2,0,1,0,1,0,0,2,0,16,1,4,5,1,1,1,42,1,0,0,37,3,11,1,0,2,7,0,0,110601,Lisboa,Grande Lisboa
Ajuda,25 - 29 anos,M,459,352,107,31,0,1,0,0,3,9,0,6,0,1,2,1,0,1,2,0,15,0,5,6,0,1,1,52,0,1,0,43,4,9,0,0,2,7,0,0,110601,Lisboa,Grande Lisboa
Ajuda,30 - 34 anos,H,454,353,101,21,1,0,1,0,1,4,0,3,0,1,1,1,0,1,1,2,13,1,6,3,1,0,1,53,0,4,1,43,2,14,4,0,3,5,1,0,110601,Lisboa,Grande Lisboa
Ajuda,30 - 34 anos,M,512,408,104,25,2,0,0,0,2,7,0,2,0,1,1,1,1,1,0,3,18,2,5,6,1,2,1,49,0,2,1,41,2,12,0,3,1,5,1,0,110601,Lisboa,Grande Lisboa
Ajuda,35 - 39 anos,H,467,371,96,17,1,0,0,0,1,6,0,4,0,1,0,0,0,1,0,0,13,1,2,1,2,4,1,49,0,0,0,42,3,17,4,1,4,5,0,0,110601,Lisboa,Grande Lisboa
Ajuda,35 - 39 anos,M,439,358,81,17,0,0,0,0,1,3,0,2,0,1,3,2,0,1,0,0,10,0,2,4,2,0,1,49,0,0,0,44,3,5,1,0,1,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,40 - 44 anos,H,498,411,87,20,2,0,0,0,2,5,0,4,0,0,0,2,0,0,0,1,14,1,4,3,3,2,0,42,2,0,0,40,0,11,3,2,1,3,0,0,110601,Lisboa,Grande Lisboa
Ajuda,40 - 44 anos,M,548,425,123,31,4,0,0,2,2,7,1,4,0,0,1,3,0,1,0,3,22,0,2,8,1,6,1,67,1,2,1,57,2,3,0,1,0,2,0,0,110601,Lisboa,Grande Lisboa
Ajuda,45 - 49 anos,H,481,388,93,26,1,0,0,0,3,8,0,2,0,0,1,6,0,1,0,0,40,0,16,4,0,11,3,22,0,1,0,21,0,5,1,2,2,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,45 - 49 anos,M,520,398,122,23,4,0,0,0,1,7,0,0,0,0,0,2,0,0,0,0,64,1,33,9,3,13,1,30,0,0,0,29,0,5,0,2,1,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,50 - 54 anos,H,405,337,68,14,1,0,1,0,1,2,0,2,0,0,1,2,0,0,0,0,40,1,19,5,2,8,1,9,0,0,1,8,0,5,1,1,2,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,50 - 54 anos,M,436,347,89,10,0,0,2,1,0,2,1,0,0,0,0,2,0,1,0,0,42,2,18,8,2,8,4,28,0,0,0,25,3,9,0,1,4,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,55 - 59 anos,H,375,324,51,9,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,25,0,10,5,1,8,0,13,0,0,0,10,2,4,0,3,0,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,55 - 59 anos,M,480,402,78,17,1,0,0,1,4,3,0,1,0,1,0,2,0,1,1,1,36,0,15,5,2,8,3,23,1,0,0,19,2,2,0,1,0,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,60 - 64 anos,H,405,368,37,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,27,1,8,6,1,8,1,4,0,0,0,4,0,1,0,0,0,1,0,0,110601,Lisboa,Grande Lisboa
Ajuda,60 - 64 anos,M,450,402,48,9,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,29,0,7,10,1,10,1,7,1,0,0,4,2,3,0,1,0,1,0,0,110601,Lisboa,Grande Lisboa
Ajuda,65 - 69 anos,H,313,287,26,6,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,13,0,2,6,2,3,0,5,0,0,0,4,1,2,0,0,1,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,65 - 69 anos,M,435,396,39,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25,0,8,8,1,5,1,8,0,0,0,8,0,3,0,1,2,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,70 - 74 anos,H,350,335,15,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,8,0,2,2,1,3,0,1,0,0,0,1,0,2,0,1,1,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,70 - 74 anos,M,506,492,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,2,2,0,6,0,1,0,0,0,1,0,2,0,0,0,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,75 - 79 anos,H,340,326,14,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,8,0,1,3,0,2,1,0,0,0,0,0,0,3,0,0,2,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,75 - 79 anos,M,515,492,23,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,4,5,0,4,1,4,0,1,0,2,0,3,0,0,2,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,80 - 84 anos,H,269,261,8,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,80 - 84 anos,M,488,467,21,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,14,0,6,4,0,4,0,1,0,0,0,1,0,3,0,0,1,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,85 e mais anos,H,228,217,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0,2,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,110601,Lisboa,Grande Lisboa
Ajuda,85 e mais anos,M,475,462,13,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,10,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110601,Lisboa,Grande Lisboa
Alcântara,Total,H,6269,5085,1184,292,31,3,8,7,36,62,1,31,0,7,7,10,1,4,4,25,296,8,146,52,11,49,12,371,3,22,4,320,11,223,52,13,42,91,2,2,110602,Lisboa,Grande Lisboa
Alcântara,Total,M,7581,6254,1327,312,30,4,10,4,42,66,2,20,3,7,8,15,3,18,7,28,357,12,173,64,13,60,20,496,6,22,5,433,19,161,10,17,19,73,3,1,110602,Lisboa,Grande Lisboa
Alcântara,0 - 4 anos,H,309,290,19,8,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,4,0,3,0,0,1,0,6,0,1,0,5,0,1,0,0,0,1,0,0,110602,Lisboa,Grande Lisboa
Alcântara,0 - 4 anos,M,312,294,18,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,8,0,0,0,8,0,2,0,0,1,1,0,0,110602,Lisboa,Grande Lisboa
Alcântara,5 - 9 anos,H,271,225,46,17,4,0,0,0,4,3,0,1,0,0,0,1,0,0,1,0,9,0,5,0,1,1,0,14,0,2,0,11,0,6,1,0,1,3,0,0,110602,Lisboa,Grande Lisboa
Alcântara,5 - 9 anos,M,262,230,32,11,4,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,8,0,7,0,0,0,0,10,0,0,0,10,0,3,0,0,1,2,0,0,110602,Lisboa,Grande Lisboa
Alcântara,10 - 14 anos,H,305,268,37,5,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,11,1,7,2,0,0,0,14,0,1,0,13,0,7,0,0,3,1,0,0,110602,Lisboa,Grande Lisboa
Alcântara,10 - 14 anos,M,315,278,37,9,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,10,1,4,0,2,0,2,11,0,1,0,9,0,7,0,0,3,2,0,0,110602,Lisboa,Grande Lisboa
Alcântara,15 - 19 anos,H,274,238,36,5,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,5,1,1,0,0,18,0,3,0,14,0,4,0,0,0,2,0,0,110602,Lisboa,Grande Lisboa
Alcântara,15 - 19 anos,M,310,275,35,4,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,14,1,5,2,1,2,2,12,0,1,0,11,0,5,0,0,0,2,0,0,110602,Lisboa,Grande Lisboa
Alcântara,20 - 24 anos,H,330,260,70,13,1,1,1,0,1,0,0,2,0,2,1,0,0,0,0,3,14,0,5,3,0,0,4,22,0,1,1,19,1,21,7,1,2,8,0,0,110602,Lisboa,Grande Lisboa
Alcântara,20 - 24 anos,M,321,235,86,18,0,0,0,1,5,3,1,1,0,0,0,0,0,0,2,2,15,1,5,3,2,2,0,34,1,3,0,29,1,19,2,0,0,13,0,0,110602,Lisboa,Grande Lisboa
Alcântara,25 - 29 anos,H,461,321,140,32,4,0,0,1,4,6,0,5,0,0,2,1,0,0,0,3,10,0,4,3,0,0,0,57,0,3,0,50,1,41,12,1,8,20,0,0,110602,Lisboa,Grande Lisboa
Alcântara,25 - 29 anos,M,503,346,157,37,1,2,2,1,5,6,0,2,1,1,3,3,0,1,0,5,15,1,3,6,1,0,4,69,0,4,0,60,5,35,4,3,2,18,1,1,110602,Lisboa,Grande Lisboa
Alcântara,30 - 34 anos,H,512,332,180,47,5,0,0,2,5,10,0,5,0,1,1,1,0,0,1,4,11,2,5,1,1,0,0,74,1,1,1,62,6,47,10,4,9,21,1,1,110602,Lisboa,Grande Lisboa
Alcântara,30 - 34 anos,M,605,405,200,53,1,1,1,0,9,15,1,6,1,1,0,2,0,7,0,0,22,2,7,3,0,4,3,95,2,4,2,78,5,30,2,2,5,18,0,0,110602,Lisboa,Grande Lisboa
Alcântara,35 - 39 anos,H,529,387,142,36,2,2,1,1,4,10,1,4,0,1,1,0,0,0,0,3,13,3,6,0,1,1,1,63,2,3,1,55,2,30,6,2,4,16,0,0,110602,Lisboa,Grande Lisboa
Alcântara,35 - 39 anos,M,549,401,148,42,3,0,0,0,6,8,0,3,0,1,4,2,0,2,2,3,15,0,8,4,0,2,1,71,2,1,2,63,2,20,1,2,1,10,1,0,110602,Lisboa,Grande Lisboa
Alcântara,40 - 44 anos,H,497,384,113,33,4,0,0,1,4,6,0,6,0,2,0,1,0,1,1,1,15,1,8,3,0,2,1,40,0,2,1,35,1,25,9,0,4,10,0,0,110602,Lisboa,Grande Lisboa
Alcântara,40 - 44 anos,M,527,385,142,38,7,0,1,0,3,11,0,3,0,1,1,2,2,2,0,1,32,1,10,9,2,5,1,60,0,4,0,52,3,12,1,2,2,5,1,0,110602,Lisboa,Grande Lisboa
Alcântara,45 - 49 anos,H,482,381,101,31,2,0,1,0,5,11,0,3,0,0,1,2,1,1,0,1,44,0,27,4,2,10,1,15,0,0,0,15,0,11,3,0,0,5,1,0,110602,Lisboa,Grande Lisboa
Alcântara,45 - 49 anos,M,554,429,125,31,5,0,3,1,1,9,0,1,0,0,0,1,0,1,0,7,44,3,28,4,0,8,1,42,0,1,1,40,0,8,0,2,1,2,0,0,110602,Lisboa,Grande Lisboa
Alcântara,50 - 54 anos,H,394,310,84,23,3,0,2,2,2,4,0,1,0,0,1,1,0,1,0,3,34,1,16,7,0,6,4,19,0,0,0,19,0,8,1,1,3,2,0,0,110602,Lisboa,Grande Lisboa
Alcântara,50 - 54 anos,M,423,331,92,21,2,1,0,0,1,3,0,3,0,0,0,0,0,3,0,4,32,1,16,4,1,5,4,33,0,1,0,31,0,6,0,2,0,0,0,0,110602,Lisboa,Grande Lisboa
Alcântara,55 - 59 anos,H,360,297,63,15,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,5,29,0,13,3,0,10,1,13,0,3,0,10,0,6,0,1,1,2,0,0,110602,Lisboa,Grande Lisboa
Alcântara,55 - 59 anos,M,400,321,79,12,1,0,1,0,0,0,0,1,0,0,0,3,1,1,0,3,37,1,16,7,0,11,2,25,0,2,0,20,1,5,0,2,1,0,0,0,110602,Lisboa,Grande Lisboa
Alcântara,60 - 64 anos,H,298,250,48,8,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,28,0,15,5,2,6,0,9,0,1,0,7,0,3,2,0,0,0,0,0,110602,Lisboa,Grande Lisboa
Alcântara,60 - 64 anos,M,406,353,53,7,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,2,33,0,21,4,1,7,0,11,1,0,0,10,0,2,0,0,0,0,0,0,110602,Lisboa,Grande Lisboa
Alcântara,65 - 69 anos,H,274,239,35,6,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,21,0,12,5,1,2,0,2,0,0,0,2,0,6,1,3,1,0,0,0,110602,Lisboa,Grande Lisboa
Alcântara,65 - 69 anos,M,415,376,39,4,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,22,0,15,2,1,4,0,9,0,0,0,7,2,4,0,2,0,0,0,0,110602,Lisboa,Grande Lisboa
Alcântara,70 - 74 anos,H,316,286,30,5,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,18,0,5,9,1,3,0,2,0,0,0,2,0,4,0,0,3,0,0,1,110602,Lisboa,Grande Lisboa
Alcântara,70 - 74 anos,M,445,407,38,9,2,0,0,0,2,3,0,0,0,1,0,0,0,0,1,0,25,0,12,5,2,6,0,3,0,0,0,3,0,1,0,0,1,0,0,0,110602,Lisboa,Grande Lisboa
Alcântara,75 - 79 anos,H,247,228,19,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,0,3,2,0,3,0,1,0,0,0,0,0,3,0,0,3,0,0,0,110602,Lisboa,Grande Lisboa
Alcântara,75 - 79 anos,M,395,383,12,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,2,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,110602,Lisboa,Grande Lisboa
Alcântara,80 - 84 anos,H,232,221,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,2,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,110602,Lisboa,Grande Lisboa
Alcântara,80 - 84 anos,M,390,381,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,110602,Lisboa,Grande Lisboa
Alcântara,85 e mais anos,H,178,168,10,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,3,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,110602,Lisboa,Grande Lisboa
Alcântara,85 e mais anos,M,449,424,25,8,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,15,0,7,6,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,110602,Lisboa,Grande Lisboa
Alvalade,Total,H,14956,13301,1655,361,30,1,29,2,49,69,0,36,2,9,0,18,6,4,11,26,635,15,306,51,22,185,20,488,8,22,5,408,18,166,21,51,21,30,2,5,110654,Lisboa,Grande Lisboa
Alvalade,Total,M,18353,16073,2280,469,35,3,17,3,88,80,2,38,2,6,11,21,5,13,24,46,903,18,434,103,21,253,25,733,6,26,4,655,20,172,6,59,21,20,2,3,110654,Lisboa,Grande Lisboa
Alvalade,0 - 4 anos,H,808,770,38,17,3,0,4,0,3,0,0,1,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,13,2,2,0,7,1,5,0,2,0,0,0,0,110654,Lisboa,Grande Lisboa
Alvalade,0 - 4 anos,M,744,716,28,9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,13,0,2,0,11,0,2,1,0,0,0,0,0,110654,Lisboa,Grande Lisboa
